Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
654,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Three,car or other,35,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
655,... < 0 DM,14,existing credits paid back duly till now,car (new),3973,... < 100 DM,unemployed,One,male: single,none,Four,unknown / no property,22,none,for free,One,skilled employee / official,One,none,yes,Good
656,0 <= 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,41,bank,own,One,unskilled - resident,Two,none,yes,Bad
657,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Three,car or other,37,stores,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
658,0 <= 200 DM,30,no credits taken/all credits paid back duly,business,4221,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,One,car or other,28,none,own,Two,skilled employee / official,One,none,yes,Good
659,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,... >= 7 years,Two,male: single,none,One,unknown / no property,41,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
660,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,... < 100 DM, 1 <= ... < 4 years,Three,male: married/widowed,none,Four,real estate,23,none,rent,One,skilled employee / official,One,none,yes,Good
661,... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/no savings account, 1 <= ... < 4 years,Four,male: married/widowed,none,Two,car or other,23,none,own,One,skilled employee / official,One,none,yes,Bad
662,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,... < 100 DM,... >= 7 years,Four,male: single,none,Two,real estate,50,none,own,Two,skilled employee / official,One,none,yes,Good
663,0 <= 200 DM,6,delay in paying off in the past,furniture/equipment,1050,... < 100 DM,unemployed,Four,male: single,none,One,building society savings agreement/life insurance,35,stores,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
664,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),education,1047,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,50,none,own,One,unskilled - resident,One,none,yes,Good
665,no checking account,24,critical account/ other credits existing (not at this bank),others,6314,... < 100 DM,unemployed,Four,male: single,co-applicant,Two,unknown / no property,27,bank,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
666,0 <= 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,... >= 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,34,stores,own,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
667,no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,One,real estate,27,stores,own,One,skilled employee / official,One,none,yes,Good
668,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,... < 100 DM,... >= 7 years,Three,male: single,co-applicant,Four,building society savings agreement/life insurance,43,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
669,... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,47,none,own,One,skilled employee / official,One,none,yes,Good
670,no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM, 1 <= ... < 4 years,Three,male: single,none,Three,building society savings agreement/life insurance,27,none,own,Two,unskilled - resident,One,"yes, registered under the customers name",yes,Good
671,no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,Two,male: single,none,Two,car or other,31,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
672,no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,... >= 7 years,Two,male: single,none,Four,building society savings agreement/life insurance,42,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
673,no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM, 1 <= ... < 4 years,One,male: married/widowed,none,Two,car or other,24,none,own,One,skilled employee / official,One,none,yes,Good
674,no checking account,21,delay in paying off in the past,business,2580,500 <= ... < 1000 DM,... < 1 year,Four,male: single,none,Two,real estate,41,bank,own,One,unskilled - resident,Two,none,yes,Bad
675,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,car or other,26,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
676,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,33,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
677,0 <= 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,male: married/widowed,none,Two,car or other,24,none,own,One,skilled employee / official,One,none,yes,Bad
678,... < 0 DM,24,existing credits paid back duly till now,radio/television,2384,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,64,bank,rent,One,unskilled - resident,One,none,yes,Good
679,no checking account,18,existing credits paid back duly till now,radio/television,1453,... < 100 DM,... < 1 year,Three,female: divorced/separated/married,none,One,real estate,26,none,own,One,skilled employee / official,One,none,yes,Good
680,no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Two,unknown / no property,56,none,own,One,skilled employee / official,One,none,yes,Good
681,no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,37,none,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
682,no checking account,15,delay in paying off in the past,radio/television,1478,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Three,real estate,33,bank,own,Two,skilled employee / official,One,none,yes,Good
683,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,... < 100 DM,... < 1 year,Three,male: married/widowed,none,Three,unknown / no property,47,none,for free,Three,skilled employee / official,One,"yes, registered under the customers name",yes,Good
684,0 <= 200 DM,36,delay in paying off in the past,business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,One,male: single,none,Three,building society savings agreement/life insurance,31,none,own,Two,unskilled - resident,Two,"yes, registered under the customers name",yes,Good
685,no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,34,none,for free,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
686,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Two,building society savings agreement/life insurance,27,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
687,0 <= 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,... >= 7 years,Four,male: single,none,Three,unknown / no property,30,none,for free,One,skilled employee / official,One,none,yes,Good
688,no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,... >= 7 years,Three,male: single,co-applicant,Four,car or other,35,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
689,... < 0 DM,12,existing credits paid back duly till now,car (new),3651,... >= 1000 DM, 1 <= ... < 4 years,One,male: single,none,Three,building society savings agreement/life insurance,31,none,own,One,skilled employee / official,Two,none,yes,Good
690,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,... < 100 DM, 1 <= ... < 4 years,Two,male: divorced/separated,none,Three,building society savings agreement/life insurance,25,none,own,Two,skilled employee / official,One,none,yes,Good
691,0 <= 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,real estate,25,none,own,One,unskilled - resident,One,none,yes,Good
692,0 <= 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= ... < 500 DM,... < 1 year,Two,male: single,none,One,car or other,29,none,own,One,skilled employee / official,One,none,yes,Good
693,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/no savings account,... < 1 year,One,male: single,none,Three,real estate,44,none,own,Two,unskilled - resident,Two,none,yes,Good
694,no checking account,24,existing credits paid back duly till now,radio/television,2284,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Two,car or other,28,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
695,no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM, 1 <= ... < 4 years,Two,male: single,none,Four,building society savings agreement/life insurance,50,none,rent,One,skilled employee / official,One,none,yes,Good
696,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1103,... < 100 DM,4 <= ... < 7 years,Four,male: single,guarantor,Three,real estate,29,none,own,Two,skilled employee / official,One,none,no,Good
697,no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,... < 100 DM,unemployed,One,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,38,none,own,One,unemployed/unskilled - non-resident,One,none,yes,Good
